price_id,product_id,store_id,promotion_id,selling_price,competitor_price,discount_pct,effective_date
1,1,1,,80.59,83.84,0.0,2021-01-01
2,1,2,,81.48,79.15,0.0,2021-01-01
3,1,3,,76.78,71.72,0.0,2021-01-01
4,1,4,,79.21,77.81,0.0,2021-01-01
5,1,5,,85.12,84.77,0.0,2021-01-01
6,1,6,,79.57,80.95,0.0,2021-01-01
7,1,7,,77.81,75.0,0.0,2021-01-01
8,1,8,,79.5,81.78,0.0,2021-01-01
9,1,9,,80.89,84.57,0.0,2021-01-01
10,1,10,,79.07,79.5,0.0,2021-01-01
11,1,11,,78.03,76.85,0.0,2021-01-01
12,1,12,,79.78,85.2,0.0,2021-01-01
13,1,13,,75.61,77.79,0.0,2021-01-01
14,1,14,,81.12,77.15,0.0,2021-01-01
15,1,15,,80.69,80.35,0.0,2021-01-01
16,1,16,,81.13,85.76,0.0,2021-01-01
17,1,17,,81.19,76.24,0.0,2021-01-01
18,1,18,,85.67,90.73,0.0,2021-01-01
19,1,19,,85.21,86.41,0.0,2021-01-01
20,1,20,,83.26,87.41,0.0,2021-01-01
21,1,21,,78.55,76.5,0.0,2021-01-01
22,1,22,,86.24,91.67,0.0,2021-01-01
23,1,23,,81.57,81.3,0.0,2021-01-01
24,1,24,,83.71,83.57,0.0,2021-01-01
25,1,25,,78.73,82.84,0.0,2021-01-01
26,1,1,,85.81,84.66,0.0,2022-01-01
27,1,2,,84.16,83.04,0.0,2022-01-01
28,1,3,,83.38,85.75,0.0,2022-01-01
29,1,4,,84.17,80.16,0.0,2022-01-01
30,1,5,,90.35,85.31,0.0,2022-01-01
31,1,6,,87.09,88.95,0.0,2022-01-01
32,1,7,,80.84,84.1,0.0,2022-01-01
33,1,8,,85.15,82.11,0.0,2022-01-01
34,1,9,,85.84,79.99,0.0,2022-01-01
35,1,10,,85.48,89.59,0.0,2022-01-01
36,1,11,,83.58,81.74,0.0,2022-01-01
37,1,12,,86.09,82.8,0.0,2022-01-01
38,1,13,,82.37,79.53,0.0,2022-01-01
39,1,14,,85.84,81.89,0.0,2022-01-01
40,1,15,,87.11,91.83,0.0,2022-01-01
41,1,16,,85.04,88.33,0.0,2022-01-01
42,1,17,,84.22,87.05,0.0,2022-01-01
43,1,18,,89.95,85.36,0.0,2022-01-01
44,1,19,,91.38,90.99,0.0,2022-01-01
45,1,20,,90.85,91.11,0.0,2022-01-01
46,1,21,,84.09,78.81,0.0,2022-01-01
47,1,22,,91.1,92.68,0.0,2022-01-01
48,1,23,,84.05,82.62,0.0,2022-01-01
49,1,24,,91.15,93.15,0.0,2022-01-01
50,1,25,,86.72,85.76,0.0,2022-01-01
51,1,1,,84.96,85.89,0.0,2023-01-01
